Bid_no.,Items,Numbers,Dept_and_Address,Start_date,Start_time,End_date,End_time
GEM/2019/B/220423,Laptop-Notebook,1,"Ministry Of Power
Na
Bengaluru Central Power Research Institute (cpri) Bangalore Karnataka",23-04-2019,10:57 AM,16-05-2019,09:00 AM
GEM/2019/B/229285,Plywood,378,"Ministry Of Home Affairs
Central Armed Police Forces
39 Bn, Itbp Indo Tibetan Border Police (itbp)",07-05-2019,06:08 PM,16-05-2019,09:00 AM
GEM/2019/B/225533,Automotive Vehicles Pneumatic Tyres,4,"Ministry Of Defence
Indian Air Force
Jaisalmer Air Force Station Jaisalmer",02-05-2019,12:28 PM,16-05-2019,09:00 AM
GEM/2019/B/229987,Multifunction Machines MFM,1,"Andaman & Nicobar
Police Department Andaman & Nicobar
Police Head Quarter N/a",08-05-2019,06:25 PM,16-05-2019,09:00 AM
GEM/2019/B/226480,OEM Cartridge/ Consumable,10,"Ministry Of Defence
Department Of Defence
Air Force Station Hindan Mohan Nagar Ghaziabad N/a",03-05-2019,02:16 PM,16-05-2019,09:00 AM
GEM/2019/B/230007,Air Conditioner,2,"Ministry Of Labour And Employment
Na
Regional Office Delhi Central Employees Provident Fund Organisation (epfo)",08-05-2019,05:50 PM,16-05-2019,09:00 AM
GEM/2019/RA/7943,PLASTIC BODY EVAPORATIVE COOLERS- DESERT COOLER,15,"Ministry Of Law And Justice
District & Sesions Judge
Munger Bihar N/a",02-05-2019,10:21 AM,16-05-2019,09:00 AM
GEM/2019/B/229555,Lead Acid Battery,15,"Ministry Of Defence
Department Of Defence
Af Stn Tezpur N/a",08-05-2019,12:20 PM,16-05-2019,09:00 AM
GEM/2019/B/229342,Stapler Pin,70,"Ministry Of Defence
Militry Engineering Services
Ce Bareilly Zone Military Engineer Services",07-05-2019,07:06 PM,16-05-2019,09:00 AM
GEM/2019/B/229343,Online UPS Modular Type,1,"Bihar
Science & Technology Department Bihar
800001 N/a",07-05-2019,07:22 PM,16-05-2019,09:00 AM
